Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
22573,11,Bike Trail,,Bike Trail,,FINCH CORRIDOR TRAIL (  5)
22584,11,Bike Trail,,Bike Trail,,FINCH CORRIDOR TRAIL (  6)
22592,11,Bike Trail,,Bike Trail,,FINCH CORRIDOR TRAIL (  7)
22596,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  1)
22607,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  2)
22618,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  3)
22629,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  4)
22640,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  5)
22643,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  6)
22645,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  8)
22646,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL (  9)
22597,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 10)
22598,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 11)
22639,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 12)
22600,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 13)
22601,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 14)
22602,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 15)
22603,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 16)
22605,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 18)
22606,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 19)
22608,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 20)
22609,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 21)
22611,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 23)
22612,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 24)
22613,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 25)
22614,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 26)
22615,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 27)
22616,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 28)
22617,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 29)
22619,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 30)
22620,11,Bike Trail,,Bike Trail,,G ROSS LORD PARK TRAIL ( 31)
